channel_id,upload_playlist_id,video_id
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,RD4amIevN3E
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,-JMaDtX23ao
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,4CdWWSOrFcE
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,bFRi5ARQUuE
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,lhARw_k5Wo4
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,ox1K-iEJMUg
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,8ZrfpE_GYRU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,3bYNgvGjk3o
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,62wmeEb98-U
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,0r7FNgmiNTU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,YE4dou-Kyf8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,K-fyAHjmmUw
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,iI-qV94ROC0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,WCPHYzRuvpU
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,dN0S7bp-jFE
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,ZE3Vn67G-3I
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,qEjHlOwNAN0
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,qnrhJlsepyw
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,n8VXrvz1Dbs
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,_ATNvHJ_Y3I
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,xBsptOEx0_4
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,TwXSQAy-GN8
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,nupduHwOODk
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,uOU-hHEC-Vk
UCjz2kAizPuWCgNpMIe1LXzg,UUjz2kAizPuWCgNpMIe1LXzg,Om8A-wtjlHg
